Product Code,Net Unit Cost,Quantity,Product Variant,Tax Rate Name,Discount,Expiry
8806173436811,52575,54,,,,8/31/2019
8806173436989,52575,54,,,,8/31/2019
8806173436941,52575,54,,,,8/31/2019
8806173436903,52575,54,,,,8/31/2019
8806173436965,52575,54,,,,8/31/2019
8806173436972,52575,54,,,,8/31/2019
8806173436866,52575,54,,,,8/31/2019
8806173436910,52575,54,,,,8/31/2019
8806173436897,52575,54,,,,8/31/2019
8806173436859,52575,54,,,,8/31/2019
8806173437535,78862,48,,,,8/31/2019
8806173436835,52575,54,,,,8/31/2019
8806173437504,78862,48,,,,8/31/2019
8806173436873,52575,54,,,,8/31/2019
8806173436934,52575,54,,,,8/31/2019
8806173437641,78862,48,,,,8/31/2019
8806173436958,52575,54,,,,8/31/2019
8806173437498,78862,48,,,,8/31/2019
8806173437511,78862,48,,,,8/31/2019
